Date,Close/Last,Volume,Open,High,Low
02/03/2023,$66.84,1196363,$66.59,$67.20,$65.55
02/02/2023,$66.84,1648114,$67.10,$67.795,$66.37
02/01/2023,$67.18,1333273,$66.53,$67.73,$66.38
01/31/2023,$66.58,1963431,$66.34,$66.59,$65.94
01/30/2023,$66.00,903446,$66.61,$67.11,$65.86
01/27/2023,$66.84,780851,$67.14,$67.16,$66.39
01/26/2023,$67.16,1414018,$67.94,$67.95,$66.66
01/25/2023,$68.35,847502,$67.00,$68.35,$66.45
01/24/2023,$67.16,1460932,$66.53,$67.34,$66.08
01/23/2023,$66.51,1000019,$66.31,$67.05,$66.04
01/20/2023,$66.25,8070995,$65.87,$66.35,$65.035
01/19/2023,$65.90,1286570,$66.69,$66.96,$65.90
01/18/2023,$66.69,1672283,$67.70,$68.32,$66.67
01/17/2023,$68.00,1993310,$67.28,$68.86,$67.28
01/13/2023,$67.07,1203338,$65.37,$67.11,$65.19
01/12/2023,$65.67,979872,$66.12,$66.25,$65.21
01/11/2023,$66.13,1061506,$65.78,$66.38,$65.30
01/10/2023,$65.26,1102794,$64.82,$65.28,$64.56
01/09/2023,$64.69,1258792,$64.50,$66.22,$64.47
01/06/2023,$64.41,1182495,$64.54,$64.695,$64.07
01/05/2023,$63.74,1399872,$65.09,$65.52,$63.43
01/04/2023,$65.53,1036311,$65.17,$65.80,$64.85
01/03/2023,$64.99,1036321,$66.19,$66.19,$64.24
12/30/2022,$65.68,672849,$65.81,$66.21,$65.06
12/29/2022,$66.15,602992,$65.95,$66.43,$65.583
12/28/2022,$65.57,598942,$66.55,$66.88,$65.56
12/27/2022,$66.58,567118,$66.45,$66.68,$65.86
12/23/2022,$66.35,601791,$66.59,$66.69,$66.09
12/22/2022,$66.52,729203,$66.59,$66.65,$65.61
12/21/2022,$66.82,1076052,$65.42,$66.83,$65.38
12/20/2022,$65.10,772388,$65.60,$65.67,$64.85
12/19/2022,$65.46,970305,$65.90,$66.42,$65.26
12/16/2022,$65.86,2080363,$66.08,$66.59,$65.59
12/15/2022,$66.86,910747,$68.23,$68.33,$66.79
12/14/2022,$68.94,839616,$69.14,$69.565,$68.25
12/13/2022,$69.19,1223910,$70.07,$70.14,$68.56
12/12/2022,$68.84,1206647,$67.94,$68.88,$67.46
12/09/2022,$67.92,1207425,$67.79,$68.57,$67.57
12/08/2022,$68.13,1168223,$68.06,$68.57,$67.00
12/07/2022,$68.27,1967921,$73.71,$73.74,$67.545
12/06/2022,$73.65,1748837,$73.58,$74.54,$73.01
12/05/2022,$74.02,1234126,$73.69,$74.25,$73.37
12/02/2022,$74.51,866486,$73.51,$74.76,$73.415
12/01/2022,$74.05,937959,$73.31,$74.2199,$72.85
11/30/2022,$73.02,2452917,$71.03,$73.07,$70.64
11/29/2022,$71.12,997230,$71.68,$72.015,$71.10
11/28/2022,$71.93,1253811,$72.71,$72.71,$71.765
11/25/2022,$72.73,265029,$72.50,$72.73,$72.33
