,Highest,Lowest,Highest_Val,Lowest_Val
GEHC,WST,PFE,0.9210988424254193,-0.8836826413777576
GEN,PNC,HSY,0.9253326721417204,-0.8018101801380182
GILD,WTW,GNRC,0.8887979980953506,-0.8380405477334469
GIS,CPB,BXP,0.7296371782003658,-0.7294109486458128
GL,HIG,GEHC,0.893572131217285,-0.6877915447450619
GLW,LH,MOH,0.8300259920905639,-0.36498162075522944
GM,SYF,GIS,0.7766351503320772,-0.5698472563097273
GNRC,ESS,GILD,0.911723058613956,-0.8380405477334469
GOOG,GOOGL,FMC,0.9997452576429942,-0.7752287912218543
GOOGL,GOOG,FMC,0.9997452576429942,-0.7762378934095591
GPC,TRV,AMZN,0.7781519445253556,-0.6731149955875049
GPN,ESS,BIIB,0.8304541101944932,-0.7278391353473369
GRMN,EQIX,CF,0.9517884126245661,-0.7868243015148422
GS,FRT,EW,0.8345954616735398,-0.39520641839668824
GWW,TDG,DG,0.9456522861227704,-0.8373432553751842
HAL,SLB,EW,0.9192576403339476,-0.5601754525464697
HAS,AIZ,REGN,0.9085433175783219,-0.8078664389878034
HBAN,CFG,HSY,0.9722363450516247,-0.772135454810275
HCA,BSX,CF,0.9706961464565561,-0.853891117290811
HD,REG,GEHC,0.8774684004826251,-0.40654251606787745
HES,SLB,GNRC,0.9043316823891993,-0.6742516815573899
HIG,SPG,GNRC,0.8972673833419719,-0.56038647544526
HII,MOH,AXON,0.7692544264252906,-0.6540250443256675
HLT,MAR,ENPH,0.9345877983736802,-0.6074120826598531
HOLX,WYNN,LNC,0.9144391146264522,-0.8115374747741415
HON,EMR,CTLT,0.8889698053012014,-0.5351691091396744
HPE,APH,AAP,0.9111859625882914,-0.6081926109182648
HPQ,FAST,DG,0.8590399312528594,-0.5030287269379289
HRL,CVS,FSLR,0.9277257555850561,-0.8508106223481624
HSIC,PM,EQT,0.894021811538442,-0.5712391651309074
HST,ADSK,GIS,0.7343392201863911,-0.35529210072429923
HSY,CLX,ZION,0.8814743081718848,-0.8920433286369887
HUM,ELV,CCL,0.6849263471382715,-0.6654318652690003
HWM,TDG,AAP,0.9790675705155943,-0.8502371168390784
IBM,EMR,GEHC,0.8879350365139618,-0.45397037951743696
ICE,MCO,AAP,0.9453113557252482,-0.6247219603547806
IDXX,BWA,LNC,0.9560695095376471,-0.7908417520629976
IEX,A,AMZN,0.8359759446419444,-0.6669585049996192
IFF,OGN,FTNT,0.9407800502981191,-0.7039502285744101
