,Highest,Lowest,Highest_Val,Lowest_Val
TSCO,AXON,EQT,0.904363060410174,-0.7691356823751206
TSLA,AMZN,CAG,0.8587137150844618,-0.8433795695706019
TSN,VFC,PCG,0.9384331365880638,-0.8680300059406517
TT,ITW,AAP,0.9568156561074165,-0.7042584258169509
TTWO,AAPL,INCY,0.9140184705314114,-0.824161932242968
TXN,TER,MOH,0.8986138586125,-0.5800121247423191
TXT,SPG,EW,0.8421864104582378,-0.45320256165250145
TYL,GOOG,FMC,0.9130268477217159,-0.7687490103254808
UAL,ROK,DG,0.9225856634623093,-0.7164461727962752
UDR,AVB,ABBV,0.8859005577944377,-0.47139615627945347
UHS,TJX,BRK.B,0.9252306953456262,-0.7236772523320509
ULTA,TSCO,EQT,0.8602286082912333,-0.7990373003519815
UNH,MOH,LVS,0.8179386659633935,-0.7199289492633735
UNP,PAYX,REGN,0.900212724890103,-0.5820960755526451
UPS,EMN,BIIB,0.81001655213505,-0.3105180662545931
URI,NUE,BAX,0.9398523901603665,-0.6780436226479299
USB,RF,HSY,0.9637998059187577,-0.8112407505858739
V,MA,CF,0.9775764911682863,-0.741082672026142
VFC,EPAM,PCG,0.9414404728781494,-0.8967628928441861
VICI,MS,NRG,0.8068748027517401,-0.2742564431535563
VLO,MPC,WM,0.8045436006612889,-0.6250858125508826
VMC,MLM,AAP,0.9795400914994769,-0.7959806916931285
VRSK,MSFT,DG,0.9527138375453107,-0.8157393679878298
VRSN,AON,CF,0.9060965513706181,-0.7887052129848154
VRTX,LLY,MOS,0.9136256794259703,-0.7747000681710976
VTR,EBAY,NOC,0.8721677625621339,-0.45321857805555554
VTRS,AIG,GEHC,0.8703234012631695,-0.6382986219904404
VZ,EL,LLY,0.8328456357114885,-0.5683906729611108
WAB,BKR,D,0.9466120223014103,-0.6251622222353337
WAT,A,TTWO,0.933174459696765,-0.7295795976389602
WBA,AMCR,TTWO,0.8664425511394436,-0.7279120302830155
WBD,ZBRA,JNJ,0.7202143473294241,-0.6271886479062798
WDC,STX,GIS,0.8546742088099822,-0.5190999142711079
WEC,XEL,BIIB,0.9516800904067982,-0.5197778680062397
WELL,FLT,NOC,0.9206330430694817,-0.6659693097987166
WFC,SYF,GIS,0.9008662227340973,-0.5771142201429507
WHR,DLR,REGN,0.8196936458338255,-0.5737061046640143
WM,RSG,VLO,0.8911392720292779,-0.6250858125508826
WMB,DPZ,REGN,0.8271998734562698,-0.37404417491363673
WMT,ABC,AAP,0.935498613525052,-0.7945762253962335
WRB,MET,WST,0.9226270479951734,-0.8813272673529133
WRK,MMM,GEHC,0.9072284390628991,-0.7334196520307543
WST,CRM,WRB,0.9261100156992167,-0.8813272673529133
WTW,GILD,TSLA,0.8887979980953506,-0.6771375692031639
WY,DLR,HUM,0.8783325149005555,-0.470664103996043
WYNN,LVS,BAX,0.9838693358919873,-0.8866214083377123
XEL,AEP,RCL,0.958957330598728,-0.4597777408858709
XOM,HES,GNRC,0.884962452097312,-0.7692749004389222
XRAY,BKNG,ENPH,0.9388144153931124,-0.8146597971550642
XYL,AFL,CTLT,0.8996608389514134,-0.6674162280695846
YUM,LIN,LNC,0.9496508156088966,-0.8666747900298333
ZBH,HCA,CF,0.9660508405884369,-0.8272708722427893
ZBRA,STX,NOC,0.8277888887281587,-0.4606893698918138
ZION,CMA,HSY,0.9904689343470002,-0.8920433286369887
ZTS,XRAY,NOC,0.90711612898987,-0.7552016979831733
